Tractor_PTO,Engine_Speed,Speed_Depression,FC
24.8,2003,163,7.15
24.8,2042,124,6.17
24.8,2067,99,5.04
24.8,2095,71,4.06
24.8,2122,44,3.01
24.8,2166,0,2
24.8,1500,233,5.77
24.8,1611,122,5.39
24.8,1639,94,4.14
24.8,1658,75,3.25
24.8,1672,61,2.27
24.8,1733,0,1.7
6.6,2999,518,2.75
6.6,3323,194,2.86
6.6,3393,124,2.41
6.6,3458,59,2.14
6.6,3493,24,1.88
6.6,3517,0,1.77
5.9,2244,146,1.82
5.9,2312,78,1.63
5.9,2344,46,1.36
5.9,2368,22,1.02
5.9,2374,16,0.83
5.9,2390,0,0.61
6.4,2600,114,1.99
6.4,2630,84,1.7
6.4,2634,80,1.37
6.4,2681,33,1.13
6.4,2690,24,0.87
6.4,2714,0,0.74
12.3,2003,142,3.75
12.3,2058,87,3.39
12.3,2078,67,2.83
12.3,2105,40,2.4
12.3,2139,6,1.89
12.3,2145,0,1.69
12.3,1500,356,2.74
12.3,1745,111,2.9
12.3,1767,89,2.39
12.3,1795,61,2.01
12.3,1831,25,1.61
12.3,1856,0,1.37
10.5,2700,237,4.11
10.5,2834,103,3.83
10.5,2855,82,3.23
10.5,2881,56,2.68
10.5,2907,30,2.16
10.5,2937,0,1.72
10.5,2322,305,3.59
10.5,2567,60,3.59
10.5,2563,64,3.01
10.5,2559,68,2.4
10.5,2589,38,1.89
10.5,2627,0,1.44
12.5,2700,270,5.15
12.5,2881,89,5.04
12.5,2904,66,4.3
12.5,2916,54,3.59
12.5,2939,31,2.77
12.5,2970,0,2.31
12.5,2080,289,3.83
12.5,2192,177,3.97
12.5,2261,108,3.37
12.5,2288,81,2.75
12.5,2327,42,2.03
12.5,2369,0,1.58
7.1,2600,178,2.37
7.1,2617,161,2.05
7.1,2651,127,1.69
7.1,2718,60,1.42
7.1,2740,38,1.1
7.1,2778,0,0.8
5.6,2600,247,2.31
5.6,2721,126,2.13
5.6,2762,85,1.83
5.6,2817,30,1.54
5.6,2847,0,1.37
24.9,2150,352,7.34
24.9,2375,127,7.21
24.9,2413,89,5.84
24.9,2448,54,4.49
24.9,2477,25,3.17
24.9,2502,0,2.4
24.9,1710,364,5.76
24.9,1941,133,5.66
24.9,1979,95,4.55
24.9,2017,57,3.5
24.9,2052,22,2.47
24.9,2074,0,1.74
28.5,2220,201,7.83
28.5,2296,125,7
28.5,2319,102,5.61
28.5,2336,85,4.39
28.5,2369,52,3.24
28.5,2421,0,2.23
28.5,1789,195,6.89
28.5,1875,109,6.1
28.5,1895,89,4.9
28.5,1912,72,3.68
28.5,1925,59,2.63
28.5,1984,0,1.69
23.5,2100,192,7.35
23.5,2219,73,6.82
23.5,2238,54,5.62
23.5,2252,40,4.54
23.5,2273,19,3.44
23.5,2292,0,2.38
31.6,2200,193,9.56
31.6,2299,94,8.96
31.6,2325,68,7.19
31.6,2344,49,5.57
31.6,2368,25,4.21
31.6,2393,0,2.73
24.9,2100,176,8.53
24.9,2197,79,7.56
24.9,2221,55,6
24.9,2240,36,4.88
24.9,2260,16,3.7
24.9,2276,0,2.61
28.6,2000,168,8.8
28.6,2109,59,7.92
28.6,2129,39,6.27
28.6,2142,26,4.76
28.6,2155,13,3.5
28.6,2168,0,2.47
28.6,1747,207,7.96
28.6,1880,74,7.3
28.6,1899,55,5.75
28.6,1915,39,4.33
28.6,1931,23,3.05
28.6,1954,0,2.07
31.8,2000,351,9.32
31.8,2298,53,9.51
31.8,2313,38,7.66
31.8,2327,24,6.07
31.8,2339,12,4.34
31.8,2351,0,3.09
31.8,1591,121,7.88
31.8,1656,56,6.88
31.8,1667,45,5.42
31.8,1679,33,4.07
31.8,1694,18,2.89
31.8,1712,0,1.84
28.5,2000,374,9.2
28.5,2201,173,8.76
28.5,2227,147,6.9
28.5,2263,111,5.44
28.5,2339,35,4.02
28.5,2374,0,2.96
28.5,1591,374,7.68
28.5,1791,174,7.4
28.5,1824,141,5.71
28.5,1862,103,4.36
28.5,1930,35,3.24
28.5,1965,0,2.2
25.6,2100,164,9.11
25.6,2182,82,7.75
25.6,2209,55,6.32
25.6,2229,35,5.01
25.6,2246,18,3.83
25.6,2264,0,2.66
31.7,2250,202,9.98
31.7,2296,156,8.34
31.7,2336,116,6.81
31.7,2365,87,5.26
31.7,2412,40,3.95
31.7,2452,0,2.9
31.7,1790,231,8.69
31.7,1835,186,6.77
31.7,1875,146,5.34
31.7,1908,113,4.27
31.7,1965,56,2.97
31.7,2021,0,2.09
24.6,1999,185,8
24.6,2074,110,6.97
24.6,2093,91,5.59
24.6,2125,59,4.34
24.6,2167,17,3.1
24.6,2184,0,2.36
24.6,1747,262,7.25
24.6,1889,120,6.63
24.6,1912,97,5.36
24.6,1938,71,4.02
24.6,1973,36,2.91
24.6,2009,0,2.01
24.7,2200,301,7.39
24.7,2384,117,6.85
24.7,2414,87,5.45
24.7,2451,50,4.43
24.7,2481,20,3.22
24.7,2501,0,2.36
24.7,1811,305,6.46
24.7,2005,111,5.9
24.7,2032,84,4.74
24.7,2075,41,3.68
24.7,2106,10,2.65
24.7,2116,0,1.82
28.5,2000,321,8.71
28.5,2198,123,8.35
28.5,2227,94,6.68
28.5,2257,64,5.14
28.5,2295,26,3.76
28.5,2321,0,2.83
28.5,1591,159,7.17
28.5,1620,130,6.15
28.5,1650,100,4.82
28.5,1679,71,3.67
28.5,1715,35,2.59
28.5,1750,0,1.79
36,2499,310,11.53
36,2659,150,10.96
36,2696,113,8.82
36,2732,77,6.99
36,2769,40,5.2
36,2809,0,3.92
36,1967,365,9.65
36,2044,288,8.61
36,2131,201,7.02
36,2200,132,5.5
36,2266,66,4.08
36,2332,0,2.83
15.4,2101,268,4.59
15.4,2241,128,4.26
15.4,2277,92,3.43
15.4,2310,59,2.71
15.4,2332,37,2.71
15.4,2369,0,2
15.4,1980,228,4.35
15.4,2076,132,3.92
15.4,2116,92,3.16
15.4,2153,55,2.47
15.4,2175,33,1.81
15.4,2208,0,1.19
31.2,2198,187,10.35
31.2,2286,99,9.15
31.2,2319,66,7.16
31.2,2338,47,5.59
31.2,2362,23,4.19
31.2,2385,0,2.91
31.2,2045,149,9.99
31.2,2110,84,8.69
31.2,2129,65,6.7
31.2,2143,51,5.12
31.2,2153,41,3.73
31.2,2194,0,2.5
28.7,2000,227,8.75
28.7,2143,84,8.01
28.7,2154,73,6.34
28.7,2170,57,4.87
28.7,2202,25,3.55
28.7,2227,0,2.35
28.7,1728,154,7.85
28.7,1776,106,6.72
28.7,1795,87,5.26
28.7,1814,68,3.99
28.7,1840,42,2.83
28.7,1882,0,1.78
